metric,key,value,dataset
row_count,rows,184,file_master
label_count,target_origin_multiclass=ai_synthetic,69,file_master
label_count,target_origin_multiclass=human,69,file_master
label_count,target_origin_multiclass=mixed,46,file_master
label_count,target_is_replay=0,138,file_master
label_count,target_is_replay=1,46,file_master
label_count,target_is_mixer_channel=0,138,file_master
label_count,target_is_mixer_channel=1,46,file_master
label_count,target_is_partial_fabrication_file=0,138,file_master
label_count,target_is_partial_fabrication_file=1,46,file_master
label_count,eligible_origin_file_model=false,138,file_master
label_count,eligible_origin_file_model=true,46,file_master
label_count,eligible_replay_file_model=true,92,file_master
label_count,eligible_replay_file_model=false,92,file_master
label_count,eligible_mixer_file_model=true,92,file_master
label_count,eligible_mixer_file_model=false,92,file_master
label_count,eligible_partial_segment_training=false,184,file_master
row_count,rows,4189,segment_master
label_count,eligible_partial_segment_training=false,4189,segment_master
row_count,rows,46,origin_file_dataset
label_count,target_origin_multiclass=ai_synthetic,23,origin_file_dataset
label_count,target_origin_multiclass=human,23,origin_file_dataset
label_count,target_is_replay=0,46,origin_file_dataset
label_count,target_is_mixer_channel=0,46,origin_file_dataset
label_count,target_is_partial_fabrication_file=0,46,origin_file_dataset
label_count,eligible_origin_file_model=true,46,origin_file_dataset
label_count,eligible_replay_file_model=true,46,origin_file_dataset
label_count,eligible_mixer_file_model=true,46,origin_file_dataset
label_count,eligible_partial_segment_training=false,46,origin_file_dataset
row_count,rows,92,replay_file_dataset
label_count,target_origin_multiclass=ai_synthetic,46,replay_file_dataset
label_count,target_origin_multiclass=human,46,replay_file_dataset
label_count,target_is_replay=0,46,replay_file_dataset
label_count,target_is_replay=1,46,replay_file_dataset
label_count,target_is_mixer_channel=0,92,replay_file_dataset
label_count,target_is_partial_fabrication_file=0,92,replay_file_dataset
label_count,eligible_origin_file_model=true,46,replay_file_dataset
label_count,eligible_origin_file_model=false,46,replay_file_dataset
label_count,eligible_replay_file_model=true,92,replay_file_dataset
label_count,eligible_mixer_file_model=true,46,replay_file_dataset
label_count,eligible_mixer_file_model=false,46,replay_file_dataset
label_count,eligible_partial_segment_training=false,92,replay_file_dataset
row_count,rows,92,mixer_file_dataset
label_count,target_origin_multiclass=ai_synthetic,46,mixer_file_dataset
label_count,target_origin_multiclass=human,46,mixer_file_dataset
label_count,target_is_replay=0,92,mixer_file_dataset
label_count,target_is_mixer_channel=0,46,mixer_file_dataset
label_count,target_is_mixer_channel=1,46,mixer_file_dataset
label_count,target_is_partial_fabrication_file=0,92,mixer_file_dataset
label_count,eligible_origin_file_model=true,46,mixer_file_dataset
label_count,eligible_origin_file_model=false,46,mixer_file_dataset
label_count,eligible_replay_file_model=true,46,mixer_file_dataset
label_count,eligible_replay_file_model=false,46,mixer_file_dataset
label_count,eligible_mixer_file_model=true,92,mixer_file_dataset
label_count,eligible_partial_segment_training=false,92,mixer_file_dataset
row_count,rows,1207,partial_localization_prep
label_count,eligible_partial_segment_training=false,1207,partial_localization_prep
missing_acoustic_cells,,184,file_master
missing_embedding_cells,,0,file_master
missing_acoustic_cells,,117292,segment_master
missing_embedding_cells,,0,segment_master
blocking_items,,0,leakage_audit
