task_name,feature_set,fold,split_method,train_rows,test_rows,model_type
origin_file_model,acoustic,1,StratifiedGroupKFold,36,10,logistic_regression_l2
origin_file_model,acoustic,2,StratifiedGroupKFold,37,9,logistic_regression_l2
origin_file_model,acoustic,3,StratifiedGroupKFold,37,9,logistic_regression_l2
origin_file_model,acoustic,4,StratifiedGroupKFold,37,9,logistic_regression_l2
origin_file_model,acoustic,5,StratifiedGroupKFold,37,9,logistic_regression_l2
origin_file_model,ssl,1,StratifiedGroupKFold,36,10,logistic_regression_l2
origin_file_model,ssl,2,StratifiedGroupKFold,37,9,logistic_regression_l2
origin_file_model,ssl,3,StratifiedGroupKFold,37,9,logistic_regression_l2
origin_file_model,ssl,4,StratifiedGroupKFold,37,9,logistic_regression_l2
origin_file_model,ssl,5,StratifiedGroupKFold,37,9,logistic_regression_l2
origin_file_model,combined,1,StratifiedGroupKFold,36,10,logistic_regression_l2
origin_file_model,combined,2,StratifiedGroupKFold,37,9,logistic_regression_l2
origin_file_model,combined,3,StratifiedGroupKFold,37,9,logistic_regression_l2
origin_file_model,combined,4,StratifiedGroupKFold,37,9,logistic_regression_l2
origin_file_model,combined,5,StratifiedGroupKFold,37,9,logistic_regression_l2
replay_file_model,acoustic,1,StratifiedGroupKFold,73,19,logistic_regression_l2
replay_file_model,acoustic,2,StratifiedGroupKFold,73,19,logistic_regression_l2
replay_file_model,acoustic,3,StratifiedGroupKFold,74,18,logistic_regression_l2
replay_file_model,acoustic,4,StratifiedGroupKFold,74,18,logistic_regression_l2
replay_file_model,acoustic,5,StratifiedGroupKFold,74,18,logistic_regression_l2
replay_file_model,ssl,1,StratifiedGroupKFold,73,19,logistic_regression_l2
replay_file_model,ssl,2,StratifiedGroupKFold,73,19,logistic_regression_l2
replay_file_model,ssl,3,StratifiedGroupKFold,74,18,logistic_regression_l2
replay_file_model,ssl,4,StratifiedGroupKFold,74,18,logistic_regression_l2
replay_file_model,ssl,5,StratifiedGroupKFold,74,18,logistic_regression_l2
replay_file_model,combined,1,StratifiedGroupKFold,73,19,logistic_regression_l2
replay_file_model,combined,2,StratifiedGroupKFold,73,19,logistic_regression_l2
replay_file_model,combined,3,StratifiedGroupKFold,74,18,logistic_regression_l2
replay_file_model,combined,4,StratifiedGroupKFold,74,18,logistic_regression_l2
replay_file_model,combined,5,StratifiedGroupKFold,74,18,logistic_regression_l2
mixer_file_model,acoustic,1,StratifiedGroupKFold,73,19,logistic_regression_l2
mixer_file_model,acoustic,2,StratifiedGroupKFold,73,19,logistic_regression_l2
mixer_file_model,acoustic,3,StratifiedGroupKFold,74,18,logistic_regression_l2
mixer_file_model,acoustic,4,StratifiedGroupKFold,74,18,logistic_regression_l2
mixer_file_model,acoustic,5,StratifiedGroupKFold,74,18,logistic_regression_l2
mixer_file_model,ssl,1,StratifiedGroupKFold,73,19,logistic_regression_l2
mixer_file_model,ssl,2,StratifiedGroupKFold,73,19,logistic_regression_l2
mixer_file_model,ssl,3,StratifiedGroupKFold,74,18,logistic_regression_l2
mixer_file_model,ssl,4,StratifiedGroupKFold,74,18,logistic_regression_l2
mixer_file_model,ssl,5,StratifiedGroupKFold,74,18,logistic_regression_l2
mixer_file_model,combined,1,StratifiedGroupKFold,73,19,logistic_regression_l2
mixer_file_model,combined,2,StratifiedGroupKFold,73,19,logistic_regression_l2
mixer_file_model,combined,3,StratifiedGroupKFold,74,18,logistic_regression_l2
mixer_file_model,combined,4,StratifiedGroupKFold,74,18,logistic_regression_l2
mixer_file_model,combined,5,StratifiedGroupKFold,74,18,logistic_regression_l2
